sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,jobName,transcript
The heat experiment was then aborted.,2,0,twenties,female,australia,en,,6,False,True,common_voice_en_22281828.mp3,The heat experiment is then a body.
It was also equipped with a deactivating liquid tank and underbelly spraying apparatus.,2,0,twenties,female,australia,en,,13,False,True,common_voice_en_22946921.mp3,It was also equipped with a deactivating liquid tank and underbelly spraying apparatus.
The ashtray was empty.,2,0,fourties,male,australia,en,,4,False,True,common_voice_en_15734560.mp3,The ashtray was empty.
"""Because I've always heard about them,"" the boy answered, saying nothing about his dream.",3,0,twenties,male,australia,en,,14,False,True,common_voice_en_168236.mp3,"Because I've always heard about them, the boy answered, saying nothing about history."
The diploma is awarded upon successful completion of a course which includes four units.,2,1,twenties,male,australia,en,,14,False,True,common_voice_en_19871717.mp3,"The diploma is awarded upon successful completion of the course, which includes four units."
A new limit to the number of pets allowed per owner was also added.,3,0,teens,other,australia,en,,14,False,True,common_voice_en_18974994.mp3,A new limit to the number of pets allowed pet owner was also added.
We are only servants.,2,0,fourties,male,australia,en,,4,False,True,common_voice_en_18545816.mp3,We are all my servants.
Marin has been slightly more competitive when voting for governor.,2,0,fifties,male,australia,en,,10,False,True,common_voice_en_19943217.mp3,Marron has been slightly more competitive when voting for governor.
"Dwayne won the Silver Ermita award, in Colombia, as a vocal soloist.",2,0,twenties,male,australia,en,,12,False,True,common_voice_en_21636766.mp3,Dwayne won the silver A meter award in Colombia as a vocal soloist.
"This has not stopped fans from creating a set of ""Rules For Dragon Poker"".",2,0,teens,male,australia,en,,14,False,True,common_voice_en_19455843.mp3,This has not stopped fans from creating a set of rules that Dragon Poker.
The episodes are viewed in the same way as the comics are released.,2,0,twenties,female,australia,en,,13,False,True,common_voice_en_22298703.mp3,The episodes are veered in the same way as the comics are released.
Mountain Pointe is a part of the Tempe Union High School District.,2,0,twenties,male,australia,en,,12,False,True,common_voice_en_19676189.mp3,Mountain Point is a part of the Temp Union High School District.
This term applies to opposite points on a circle or any n-sphere.,2,0,teens,other,australia,en,,12,False,True,common_voice_en_20768932.mp3,This term applies to officer points on a circle or any atmosphere.
"Today there are attempts to develop the work of local artisans, especially in ceramics.",2,0,teens,other,australia,en,,14,False,True,common_voice_en_20934336.mp3,"Today there was attempts to develop the work of local artisans, especially in ceramics."
The Mayor is elected for four-year terms.,2,0,fourties,male,australia,en,,7,False,True,common_voice_en_22236698.mp3,The mayor is elected for four year terms.
The phone call got interrupted due to unknown reasons.,2,0,fourties,male,australia,en,,9,False,True,common_voice_en_15734626.mp3,The phone call got interrupted due to unknown reasons.
"He played Legion baseball in Oxford, Pennsylvania.",2,0,teens,other,australia,en,,7,False,True,common_voice_en_20357673.mp3,He played legion baseball in oxford pennsylvania.
"The band also played for Aitken on his single, ""Rudi Got Married"".",2,1,twenties,female,australia,en,,12,False,True,common_voice_en_22319685.mp3,The Shadows at like the item and a single greedy but married.
"Ecco's name was suggested by Halpern's initial backer, ketchup heiress Drue Heinz.",2,0,seventies,female,australia,en,,12,False,True,common_voice_en_19794290.mp3,"Echoes name was suggested by Halpern's initial backer, ketchup heiress Drew Hinds."
"For this, he was named a Disney Legend.",2,0,teens,other,australia,en,,8,False,True,common_voice_en_19018878.mp3,For this he was named Disney Legend.
The Monday to Friday off-peak service is two trains per hour each way.,2,0,teens,other,australia,en,,13,False,True,common_voice_en_19081425.mp3,The Monday to Friday of Peak Services two trains per hour each way.
Will you marry me?,2,0,thirties,male,australia,en,,4,False,True,common_voice_en_17277871.mp3,Will You marry Me?
Roberts Media is wholly owned by veteran broadcaster Larry Roberts.,2,0,twenties,male,australia,en,,10,False,True,common_voice_en_21636854.mp3,Roberts Media is wholly owned by veteran broadcaster Larry roberts.
Can maths explain everything?,2,0,teens,other,australia,en,,4,False,True,common_voice_en_18458792.mp3,Can Mats explain everything?
"I didn't find the blow-dryer, so I just used the vacuum-cleaner.",2,1,fourties,female,australia,en,,11,False,True,common_voice_en_212902.mp3,I didn't find the blow dryer so I just used the vacuum.
Dwelly was nonetheless eager to express his gratitude to those who assisted him.,2,0,thirties,other,australia,en,,13,False,True,common_voice_en_22777441.mp3,"Well, he was nonetheless eager to express his gratitude to those who assisted him."
The stadium has since been heavily damaged by looters.,2,0,teens,other,australia,en,,9,False,True,common_voice_en_19429298.mp3,The stadium has since been heavily damaged by looters.
"In the early history of Islam, Hanafi doctrine was not fully compiled.",2,0,twenties,female,australia,en,,12,False,True,common_voice_en_23733153.mp3,In the early history of esteban Hanafi doctrine was not fully compliant.
I think a sequential model can solve this problem.,2,0,fourties,male,australia,en,,9,False,True,common_voice_en_18460263.mp3,I think as a conventional model can solve this problem.
"During the early period of Ottoman rule, Berat fell into severe decline.",2,0,fifties,male,australia,en,,12,False,True,common_voice_en_21799750.mp3,"During the early period of Ottoman rule, Borat fell into severe decline."
Did you hear anything?,2,0,teens,other,australia,en,,4,False,True,common_voice_en_17290524.mp3,Did you hear anything?
All seven seasons are also currently available through a Canadian subscription to Netflix.,2,1,teens,other,australia,en,,13,False,True,common_voice_en_21692099.mp3,All seven seasons are also currently available through Canadian subscription to Netflix.
It is located in a valley in Pok Fu Lam.,2,0,twenties,male,australia,en,,10,False,True,common_voice_en_20282479.mp3,"Okay, it is located in a valley in Poland."
"Esther Deans wrote the books ""No-Dig Gardening"" and ""Leaves of Life"".",2,0,teens,other,australia,en,,11,False,True,common_voice_en_20013431.mp3,A Sardines wrote the books no dig gardening and leaves of life.
Have you ever been to Singapore?,2,0,fourties,male,australia,en,,6,False,True,common_voice_en_17260185.mp3,Have you ever been to Singapore?
The story is written with extraordinary language and a brilliant style.,2,0,fifties,male,australia,en,,11,False,True,common_voice_en_21595337.mp3,The story is written with extraordinary language and a brilliant style.
He was my brother.,2,0,thirties,male,australia,en,,4,False,True,common_voice_en_216435.mp3,He was my brother.
It has a cascading effect.,2,0,fourties,male,australia,en,,5,False,True,common_voice_en_18536557.mp3,It has a cascading effect.
"However, ‘jurymen’ would have done just as well.",2,0,fourties,male,australia,en,,8,False,True,common_voice_en_18543164.mp3,"However, Jury men would have done just as well."
"But the title is also a rather obscure nod to The Beatles' ""Revolver"".",2,1,teens,other,australia,en,,13,False,True,common_voice_en_19206647.mp3,"Yeah, but the titles also rather obscure not to the Beatles revolver."
"For a left-handed percussionist, the legs and hands are switched.",2,0,twenties,male,australia,en,,10,False,True,common_voice_en_18979043.mp3,"For a left handed percussionist, the legs and hands are switched."
"Soon after this ""rediscovery,"" Boubacar's wife died during childbirth.",2,0,seventies,male,australia,en,,9,False,True,common_voice_en_18986688.mp3,"Soon after this rediscovery boubacar, his wife died during childbirth okay?"
Did you rewind the cassette?,2,0,thirties,male,australia,en,,5,False,True,common_voice_en_17249486.mp3,Did you rewind the cassette?
"He secured the support of Arnaud Montebourg, who placed third, soon thereafter.",2,0,twenties,male,australia,en,,12,False,True,common_voice_en_18979234.mp3,"He secured the support of Honor Montebello, who plays good soon thereafter."
George was the Chairman of the Society of Black Engineers' Publications Committee.,2,0,twenties,male,australia,en,,12,False,True,common_voice_en_19388558.mp3,George was the Chairman of the Society of Black Engineers Publications Committee.
Over three-quarters of these deaths occurred in sub-Saharan Africa.,2,0,thirties,male,australia,en,,9,False,True,common_voice_en_23382844.mp3,Over three quarters of these death occurred in sub Saharan africa.
My daughter is hoping to volunteer at a nature reserve.,2,0,teens,other,australia,en,,10,False,True,common_voice_en_18455743.mp3,My daughter is hoping to volunteer the nature reserve.
Murrysville is within the Franklin Regional School District.,2,0,teens,other,australia,en,,8,False,True,common_voice_en_20365739.mp3,Murrysville is within the Franklin Regional School District.
There are many variants of the puzzle.,2,0,twenties,male,australia,en,,7,False,True,common_voice_en_21337950.mp3,There are many variants of the puzzle.
"The unusual strategy worked, and the Yellow Jackets upset Notre Dame.",2,0,twenties,male,australia,en,,11,False,True,common_voice_en_19871724.mp3,The unusual strategy worked and the yellowjackets upset Notre Dam.
It is named for the Portuguese explorer Vasco da Gama.,2,0,twenties,female,australia,en,,10,False,True,common_voice_en_22278592.mp3,Mhm It is named for the Portuguese explorer Vasco da Gama.
"The skeleton comes magically to life and becomes Terrybubble, a live dinosaur skeleton.",2,0,teens,male,australia,en,,13,False,True,common_voice_en_22069033.mp3,The skeleton comes magically to life and becomes terry bubble a live dinosaur skeleton.
"Back to our original plan, I think.",2,0,fourties,male,australia,en,,7,False,True,common_voice_en_17746452.mp3,"Back to our Original Plan, I think."
Trockel is notable for her work as a conceptual artist.,2,1,teens,other,australia,en,,10,False,True,common_voice_en_20957061.mp3,Chaka was notable for her work as a conceptual artist.
LaRue refused to testify against Nixon or any other Watergate figure.,2,0,sixties,male,australia,en,,11,False,True,common_voice_en_20220400.mp3,Laura refused to testify against Nixon or any other Watergate figure.
The local council looks after municipal needs.,2,0,sixties,male,australia,en,,7,False,True,common_voice_en_18618683.mp3,The Local council looks after municipal needs.
The mother sat in the courtroom.,2,0,fourties,male,australia,en,,6,False,True,common_voice_en_15903317.mp3,The mother sat in the courtroom.
