jobName,transcript
common_voice_en_107220.mp3,I'm afraid it is important.
common_voice_en_109349.mp3,She spent almost all night finishing her thesis.
common_voice_en_1137939.mp3,May I sit Down?
common_voice_en_114760.mp3,She composed an emotional song in her bedroom.
common_voice_en_114764.mp3,Your crew will do the mop up job.
common_voice_en_116219.mp3,It's true life really is generous to those who pursue their investing the boys on.
common_voice_en_119023.mp3,the boy felt ill and terribly alone.
common_voice_en_120091.mp3,it was seen early in the morning rushing over East World.
common_voice_en_123995.mp3,as they watch their planet seemed a girl larger and smaller.
common_voice_en_1280839.mp3,The system was malfunctioning.
common_voice_en_131673.mp3,he decided to stay right there and the way it is returned.
common_voice_en_134510.mp3,And a new contract goes with it.
common_voice_en_13479.mp3,Let somebody look at the standard deviation.
common_voice_en_13532.mp3,"Even then, he hardly understood what this meant."
common_voice_en_13714926.mp3,She retracted her statement. Yeah.
common_voice_en_13714927.mp3,And so it proved.
common_voice_en_13813670.mp3,The newspapers demanded democracy.
common_voice_en_138713.mp3,Because the crystal was dirty.
common_voice_en_1466772.mp3,The boy shot his head.
common_voice_en_1466786.mp3,Where Did He Come from?
common_voice_en_155227.mp3,Benjamin was snacking on strips of bacon.
common_voice_en_15649.mp3,You were going to go out and conquer the world.
common_voice_en_15657.mp3,Play Music by Larry mullen jr.
common_voice_en_15708.mp3,That's why I keep losing.
common_voice_en_1639339.mp3,We need grain to keep our meals healthy.
common_voice_en_1639347.mp3,I wish to see her.
common_voice_en_17147861.mp3,Do the Roses compete in the atlantic events? Mhm.
common_voice_en_17147879.mp3,How old are You?
common_voice_en_17147890.mp3,All is not gold that glitters.
common_voice_en_17247255.mp3,man proposes God disposes.
common_voice_en_17247726.mp3,The more you read the battery will be understood.
common_voice_en_17248765.mp3,What can I do for you?
common_voice_en_17250766.mp3,"Remember to take your full course of antibiotics, stopping early is dangerous for your health."
common_voice_en_17250776.mp3,a wink is as good as a nod to a blind man.
common_voice_en_17250950.mp3,when there is a loss of cabin pressure of season masks will automatically drop them.
common_voice_en_17251288.mp3,Do You Like Fruit?
common_voice_en_17252813.mp3,"Nice, genial, jolly."
common_voice_en_17252814.mp3,"Hey, look! A flying pig!"
common_voice_en_17252868.mp3,One man's loss is another man's game.
common_voice_en_17264229.mp3,"No, you cannot have that lollipop."
common_voice_en_17264418.mp3,Did you know that like l a was going to join us?
common_voice_en_17276740.mp3,"Who is a regular and is connected, but then I expect you knew that much already."
common_voice_en_17280983.mp3,Oh you are a.
common_voice_en_17281026.mp3,"Due to the lack of a bug bounty program, johanna decided to sell her exploits on the black market."
common_voice_en_17281027.mp3,I'm just sitting around watching a video at the moment.
common_voice_en_17284345.mp3,"To my satisfaction, I have been mentioned in the credits for my proficiency."
common_voice_en_17284354.mp3,Where is My Dress?
common_voice_en_17285946.mp3,Can you tell me where it hurts?
