,jobName,transcript
0,common_voice_en_107220.mp3,I'm afraid it is important.
1,common_voice_en_109349.mp3,She spent almost all night finishing her thesis.
2,common_voice_en_1137939.mp3,May I sit Down?
3,common_voice_en_114760.mp3,She composed an emotional song in her bedroom.
4,common_voice_en_114764.mp3,Your crew will do the mop up job.
5,common_voice_en_116219.mp3,It's true life really is generous to those who pursue their investing the boys on.
6,common_voice_en_119023.mp3,the boy felt ill and terribly alone.
7,common_voice_en_120091.mp3,it was seen early in the morning rushing over East World.
8,common_voice_en_123995.mp3,as they watch their planet seemed a girl larger and smaller.
9,common_voice_en_1280839.mp3,The system was malfunctioning.
10,common_voice_en_131673.mp3,he decided to stay right there and the way it is returned.
11,common_voice_en_134510.mp3,And a new contract goes with it.
12,common_voice_en_13479.mp3,Let somebody look at the standard deviation.
13,common_voice_en_13532.mp3,"Even then, he hardly understood what this meant."
14,common_voice_en_13714926.mp3,She retracted her statement. Yeah.
15,common_voice_en_13714927.mp3,And so it proved.
16,common_voice_en_13813670.mp3,The newspapers demanded democracy.
17,common_voice_en_138713.mp3,Because the crystal was dirty.
18,common_voice_en_1466772.mp3,The boy shot his head.
19,common_voice_en_1466786.mp3,Where Did He Come from?
20,common_voice_en_155227.mp3,Benjamin was snacking on strips of bacon.
21,common_voice_en_15649.mp3,You were going to go out and conquer the world.
22,common_voice_en_15657.mp3,Play Music by Larry mullen jr.
23,common_voice_en_15708.mp3,That's why I keep losing.
24,common_voice_en_1639339.mp3,We need grain to keep our meals healthy.
25,common_voice_en_1639347.mp3,I wish to see her.
26,common_voice_en_17147861.mp3,Do the Roses compete in the atlantic events? Mhm.
27,common_voice_en_17147879.mp3,How old are You?
28,common_voice_en_17147890.mp3,All is not gold that glitters.
29,common_voice_en_17247255.mp3,man proposes God disposes.
30,common_voice_en_17247726.mp3,The more you read the battery will be understood.
31,common_voice_en_17248765.mp3,What can I do for you?
32,common_voice_en_17250766.mp3,"Remember to take your full course of antibiotics, stopping early is dangerous for your health."
