sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,filename,transcript,confidence
"At first they were considered ""Stegosaurus"" exemplars.",2,0,twenties,female,hongkong,en,,7,True,False,common_voice_en_22630065.mp3,at first they were considered stegosaurus exemplars,0.9797573685646057
The game contains many references to the Bible.,2,1,thirties,male,hongkong,en,,8,True,False,common_voice_en_20544026.mp3,the game contains many reference to the Bible,0.8961095213890076
Don’t be a fool!,2,0,fourties,male,hongkong,en,,4,True,False,common_voice_en_17787387.mp3,don't be a fool,0.9836026430130005
Prospect Hill's science offerings include physics.,2,0,twenties,male,hongkong,en,,6,True,False,common_voice_en_22969285.mp3,Prospect shoes signs offerings include music,0.7964808940887451
They have all four properties described above.,2,0,twenties,male,hongkong,en,,7,True,False,common_voice_en_22423410.mp3,they have all fall properties described as a boss,0.6890213489532471
You've got just ten minutes.,3,0,thirties,male,hongkong,en,,5,True,False,common_voice_en_17663.mp3,Jill Scott just 10 minutes,0.7313458919525146
It was cancelled early in its second season.,2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_21786381.mp3,it was canceled early in the second season,0.9226147532463074
"No, you cannot have that lollipop.",2,0,twenties,male,hongkong,en,,6,True,False,common_voice_en_17264229.mp3,no you cannot to have that lollipop,0.8493836522102356
"""You have plenty of courage, I am sure,"" answered Oz.",2,1,twenties,male,hongkong,en,,10,True,False,common_voice_en_18441981.mp3,you have plenty of Courage I'm sure I'm through results,0.7276867628097534
It has been so long since I have seen you!,2,0,fourties,male,hongkong,en,,10,True,False,common_voice_en_17816517.mp3,it has been so long since I have seen you,0.9474014043807983
"The team colours are blue, white and black.",2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_22257412.mp3,the team colors of blue white and black,0.9122958183288574
"He saw the cabs waiting, the people passing.",2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_20867349.mp3,you saw the cats mating the people passing,0.8139944076538086
This could be used as a protection when a tribune needed to arrest someone.,2,0,twenties,male,hongkong,en,,14,True,False,common_voice_en_20912992.mp3,this could be used as a protection when a Tribune needed to arrest someone,0.8964215517044067
"Complaints eventually became loud enough that they decided ""something"" had to be done.",2,0,twenties,male,hongkong,en,,13,True,False,common_voice_en_22355867.mp3,I'm glad you went 48 between law that something had to be done,0.7233750820159912
At the moment it doesn't provide a weekend news service.,2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_21786191.mp3,at the moment it doesn't provide a week and new service,0.8246198892593384
Don’t worry about me.,2,0,fourties,male,hongkong,en,,4,True,False,common_voice_en_17776615.mp3,don't worry about me,0.9831615686416626
They ask for approval without examination of the reason.,2,1,twenties,male,hongkong,en,,9,True,False,common_voice_en_22257423.mp3,they ask for approval without examination of the reason,0.8476259112358093
Goats always have a better view.,2,0,thirties,male,hongkong,en,,6,True,False,common_voice_en_17613.mp3,goats always have a bath of,0.7144172191619873
He left service with the rank of commander.,2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_22248437.mp3,aleph service with the rank of Commander,0.897692084312439
Writing credits and songs' lengths are in accord with album's inner notes.,2,0,,,hongkong,en,,12,True,False,common_voice_en_22445724.mp3,writing credits and songs length in a code with album.,0.8763777613639832
It is one of seven state roads that travel through the city of Chicago.,2,0,twenties,male,hongkong,en,,14,True,False,common_voice_en_22257990.mp3,and this is one of seven State rose that travel through the city of Chicago,0.8525413870811462
A conservative.,2,1,fourties,male,hongkong,en,,2,True,False,common_voice_en_17799195.mp3,a conservative,0.8974581956863403
The organization was originally known as the Commandant's Warfighting Laboratory.,2,0,teens,male,hongkong,en,,10,True,False,common_voice_en_22177351.mp3,"the organization is orange Ali known as stew, Don's for fighting Laboratory",0.8338479399681091
"I haven't played around with that yet, but I'd love to hear if you have in the comments.",2,1,fourties,male,hongkong,en,,18,True,False,common_voice_en_219302.mp3,I haven't played around with that yet but I'd love to hear if you have in the comments,0.9809677600860596
"Also, when you play it live, it just kind of gets boring.",2,0,thirties,male,hongkong,en,,12,True,False,common_voice_en_22606561.mp3,oh so when you play your life it just kind of gets boring,0.8194373846054077
"It is long, and graded ""Very Difficult"".",2,0,teens,male,hongkong,en,,7,True,False,common_voice_en_18987958.mp3,it is long on the credit wire difficult,0.6562723517417908
William was naturally driven by this to oppose King Henry.,2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_22355775.mp3,medium what network do you mean by a Holstein hurry,0.6417912840843201
Where did you say this man worked?,2,0,fourties,male,hongkong,en,,7,True,False,common_voice_en_17808853.mp3,where did you say this man work,0.8632060289382935
His term as premier is regarded by historians as a failure.,2,0,twenties,male,hongkong,en,,11,True,False,common_voice_en_23377193.mp3,is time as camera is recorded by historian as a failure,0.8435682654380798
"Man proposes, God disposes.",2,1,twenties,male,hongkong,en,,4,True,False,common_voice_en_17247255.mp3,man proposes God disposes,0.9840223789215088
How could you even think that?,2,0,thirties,male,hongkong,en,,6,True,False,common_voice_en_214017.mp3,how could you even think that,0.9837674498558044
They have a black tail with white outer feathers.,2,1,twenties,male,hongkong,en,,9,True,False,common_voice_en_22257650.mp3,I have a black tail with white salt or feathers,0.8409422039985657
What do you think?,2,0,thirties,male,hongkong,en,,4,True,False,common_voice_en_214018.mp3,what do you think,0.9823390245437622
Harrison has since made periodic appearances on a recurring capacity.,2,0,twenties,female,hongkong,en,,10,True,False,common_voice_en_22630060.mp3,Harrison has been made periodic appearances on a recurring capacity,0.9181941151618958
The hottest month is July and the coldest is February.,2,0,thirties,male,hongkong,en,,10,True,False,common_voice_en_22449628.mp3,the hottest month is July in the coldest it's ever marry,0.8934417366981506
