provider,sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,jobName,transcript
Amazon,"At first they were considered ""Stegosaurus"" exemplars.",2,0,twenties,female,hongkong,en,,7,TRUE,FALSE,common_voice_en_22630065.mp3,At first they were considered stegosaurus exemplars.
Amazon,The game contains many references to the Bible.,2,1,thirties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_20544026.mp3,The game contains many references to the bible.
Amazon,Don’t be a fool!,2,0,fourties,male,hongkong,en,,4,TRUE,FALSE,common_voice_en_17787387.mp3,Don't Be a Fool.
Amazon,Prospect Hill's science offerings include physics.,2,0,twenties,male,hongkong,en,,6,TRUE,FALSE,common_voice_en_22969285.mp3,Prospect Hill's science offerings include physics.
Amazon,They have all four properties described above.,2,0,twenties,male,hongkong,en,,7,TRUE,FALSE,common_voice_en_22423410.mp3,They have all four properties described it about.
Amazon,You've got just ten minutes.,3,0,thirties,male,hongkong,en,,5,TRUE,FALSE,common_voice_en_17663.mp3,you have got just 10 minutes.
Amazon,It was cancelled early in its second season.,2,0,twenties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_21786381.mp3,it was cancelled early in its second season.
Amazon,"No, you cannot have that lollipop.",2,0,twenties,male,hongkong,en,,6,TRUE,FALSE,common_voice_en_17264229.mp3,"No, you cannot have that lollipop."
Amazon,"""You have plenty of courage, I am sure,"" answered Oz.",2,1,twenties,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_18441981.mp3,"You have plenty of courage, I'm sure answer it odds."
Amazon,It has been so long since I have seen you!,2,0,fourties,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_17816517.mp3,It has been so long since I have seen you.
Amazon,"The team colours are blue, white and black.",2,0,twenties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_22257412.mp3,"The team colors are blue, white and black."
Amazon,"He saw the cabs waiting, the people passing.",2,0,twenties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_20867349.mp3,"He saw the caps written, the people passing."
Amazon,This could be used as a protection when a tribune needed to arrest someone.,2,0,twenties,male,hongkong,en,,14,TRUE,FALSE,common_voice_en_20912992.mp3,This could be used as a protection when attribute needed to arrest someone. Mhm.
Amazon,"Complaints eventually became loud enough that they decided ""something"" had to be done.",2,0,twenties,male,hongkong,en,,13,TRUE,FALSE,common_voice_en_22355867.mp3,Complaints eventually became loud enough that they decided something had to be done.
Amazon,At the moment it doesn't provide a weekend news service.,2,0,twenties,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_21786191.mp3,At the moment it doesn't provide a weekend new service.
Amazon,Don’t worry about me.,2,0,fourties,male,hongkong,en,,4,TRUE,FALSE,common_voice_en_17776615.mp3,Don't worry about me.
Amazon,They ask for approval without examination of the reason.,2,1,twenties,male,hongkong,en,,9,TRUE,FALSE,common_voice_en_22257423.mp3,They asked for approval with the examination of the reason.
Amazon,Goats always have a better view.,2,0,thirties,male,hongkong,en,,6,TRUE,FALSE,common_voice_en_17613.mp3,goat always have a better view.
Amazon,He left service with the rank of commander.,2,0,twenties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_22248437.mp3,He left service with the rank of commander.
Amazon,Writing credits and songs' lengths are in accord with album's inner notes.,2,0,,,hongkong,en,,12,TRUE,FALSE,common_voice_en_22445724.mp3,Writing credits and songs links are in accord with albums in our nukes.
Amazon,It is one of seven state roads that travel through the city of Chicago.,2,0,twenties,male,hongkong,en,,14,TRUE,FALSE,common_voice_en_22257990.mp3,Is this one of seven states roles that travel through the city of Chicago?
Amazon,A conservative.,2,1,fourties,male,hongkong,en,,2,TRUE,FALSE,common_voice_en_17799195.mp3,A Conservative.
Amazon,The organization was originally known as the Commandant's Warfighting Laboratory.,2,0,teens,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_22177351.mp3,The organization was originally known as the Commandant's for Fighting Laboratory.
Amazon,"I haven't played around with that yet, but I'd love to hear if you have in the comments.",2,1,fourties,male,hongkong,en,,18,TRUE,FALSE,common_voice_en_219302.mp3,"I haven't played around with that yet, but I'd love to hear if you have in the comments."
Amazon,"Also, when you play it live, it just kind of gets boring.",2,0,thirties,male,hongkong,en,,12,TRUE,FALSE,common_voice_en_22606561.mp3,"Oh, so when you play it life, it just kind of gets boring."
Amazon,"It is long, and graded ""Very Difficult"".",2,0,teens,male,hongkong,en,,7,TRUE,FALSE,common_voice_en_18987958.mp3,"It is long and graded, very difficult."
Amazon,William was naturally driven by this to oppose King Henry.,2,0,twenties,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_22355775.mp3,Medium was naturally driven by this to oppose king hurry.
Amazon,Where did you say this man worked?,2,0,fourties,male,hongkong,en,,7,TRUE,FALSE,common_voice_en_17808853.mp3,Where did you say this man worked?
Amazon,His term as premier is regarded by historians as a failure.,2,0,twenties,male,hongkong,en,,11,TRUE,FALSE,common_voice_en_23377193.mp3,His term as prime Maria is regarded by historians as a failure.
