sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,filename,transcript,confidence
The heat experiment was then aborted.,2,0,twenties,female,australia,en,,6,False,True,common_voice_en_22281828.mp3,heat experiments,0.8052799701690674
It was also equipped with a deactivating liquid tank and underbelly spraying apparatus.,2,0,twenties,female,australia,en,,13,False,True,common_voice_en_22946921.mp3,it's supposed to say we quipped with a deactivating liquid tank and underbelly spring apparatus,0.7955854535102844
The ashtray was empty.,2,0,fourties,male,australia,en,,4,False,True,common_voice_en_15734560.mp3,the ashtray was empty,0.9021623730659485
"""Because I've always heard about them,"" the boy answered, saying nothing about his dream.",3,0,twenties,male,australia,en,,14,False,True,common_voice_en_168236.mp3,because I've always felt about the boy on since I know nothing about his dream,0.8177593350410461
The diploma is awarded upon successful completion of a course which includes four units.,2,1,twenties,male,australia,en,,14,False,True,common_voice_en_19871717.mp3,the deployment is awarded upon successful completion of a course which includes four units,0.9488838315010071
A new limit to the number of pets allowed per owner was also added.,3,0,teens,other,australia,en,,14,False,True,common_voice_en_18974994.mp3,a new limits the number of pets allowed and I was also added,0.8788111805915833
We are only servants.,2,0,fourties,male,australia,en,,4,False,True,common_voice_en_18545816.mp3,we are only servants,0.9880294799804688
Marin has been slightly more competitive when voting for governor.,2,0,fifties,male,australia,en,,10,False,True,common_voice_en_19943217.mp3,Marin has been Slaton,0.7541207075119019
"Dwayne won the Silver Ermita award, in Colombia, as a vocal soloist.",2,0,twenties,male,australia,en,,12,False,True,common_voice_en_21636766.mp3,Dwayne won the silver Emmys award in Columbia as a vocal soloist,0.8891511559486389
"This has not stopped fans from creating a set of ""Rules For Dragon Poker"".",2,0,teens,male,australia,en,,14,False,True,common_voice_en_19455843.mp3,this is not stopped fans from creating a set of rules to Dragon Park Co,0.8921050429344177
The episodes are viewed in the same way as the comics are released.,2,0,twenties,female,australia,en,,13,False,True,common_voice_en_22298703.mp3,the episode of these in the same way as a comic so relieved,0.8708636164665222
Mountain Pointe is a part of the Tempe Union High School District.,2,0,twenties,male,australia,en,,12,False,True,common_voice_en_19676189.mp3,Mountain Pointe is a pot of the temp Union High School District,0.8222796320915222
This term applies to opposite points on a circle or any n-sphere.,2,0,teens,other,australia,en,,12,False,True,common_voice_en_20768932.mp3,the song of Life of six points on a circle or any MC,0.904649019241333
