provider,sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,jobName,transcript,wer,levenshtein,ser,filename,confidence
Amazon,at first they were considered stegosaurus exemplars,2,0,twenties,female,hongkong,en,,7,True,False,common_voice_en_22630065.mp3,at first they were considered stegosaurus exemplars,0.0,0,0,,
Amazon,the game contains many references to the bible,2,1,thirties,male,hongkong,en,,8,True,False,common_voice_en_20544026.mp3,the game contains many references to the bible,0.0,0,0,,
Amazon,dont be a fool,2,0,fourties,male,hongkong,en,,4,True,False,common_voice_en_17787387.mp3,dont be a fool,0.0,0,0,,
Amazon,prospect hills science offerings include physics,2,0,twenties,male,hongkong,en,,6,True,False,common_voice_en_22969285.mp3,prospect hills science offerings include physics,0.0,0,0,,
Amazon,they have all four properties described above,2,0,twenties,male,hongkong,en,,7,True,False,common_voice_en_22423410.mp3,they have all four properties described it about,0.2857142857142857,5,1,,
Amazon,youve got just ten minutes,3,0,thirties,male,hongkong,en,,5,True,False,common_voice_en_17663.mp3,you have got just 10 minutes,0.6,6,1,,
Amazon,it was cancelled early in its second season,2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_21786381.mp3,it was cancelled early in its second season,0.0,0,0,,
Amazon,no you cannot have that lollipop,2,0,twenties,male,hongkong,en,,6,True,False,common_voice_en_17264229.mp3,no you cannot have that lollipop,0.0,0,0,,
Amazon,you have plenty of courage i am sure answered oz,2,1,twenties,male,hongkong,en,,10,True,False,common_voice_en_18441981.mp3,you have plenty of courage im sure answer it odds,0.5,8,1,,
Amazon,it has been so long since i have seen you,2,0,fourties,male,hongkong,en,,10,True,False,common_voice_en_17816517.mp3,it has been so long since i have seen you,0.0,0,0,,
Amazon,the team colours are blue white and black,2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_22257412.mp3,the team colors are blue white and black,0.125,1,1,,
Amazon,he saw the cabs waiting the people passing,2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_20867349.mp3,he saw the caps written the people passing,0.25,5,1,,
Amazon,this could be used as a protection when a tribune needed to arrest someone,2,0,twenties,male,hongkong,en,,14,True,False,common_voice_en_20912992.mp3,this could be used as a protection when attribute needed to arrest someone mhm,0.21428571428571427,6,1,,
Amazon,complaints eventually became loud enough that they decided something had to be done,2,0,twenties,male,hongkong,en,,13,True,False,common_voice_en_22355867.mp3,complaints eventually became loud enough that they decided something had to be done,0.0,0,0,,
Amazon,at the moment it doesnt provide a weekend news service,2,0,twenties,male,hongkong,en,,10,True,False,common_voice_en_21786191.mp3,at the moment it doesnt provide a weekend new service,0.1,1,1,,
Amazon,dont worry about me,2,0,fourties,male,hongkong,en,,4,True,False,common_voice_en_17776615.mp3,dont worry about me,0.0,0,0,,
Amazon,they ask for approval without examination of the reason,2,1,twenties,male,hongkong,en,,9,True,False,common_voice_en_22257423.mp3,they asked for approval with the examination of the reason,0.3333333333333333,6,1,,
Amazon,goats always have a better view,2,0,thirties,male,hongkong,en,,6,True,False,common_voice_en_17613.mp3,goat always have a better view,0.16666666666666666,1,1,,
Amazon,he left service with the rank of commander,2,0,twenties,male,hongkong,en,,8,True,False,common_voice_en_22248437.mp3,he left service with the rank of commander,0.0,0,0,,
Amazon,writing credits and songs lengths are in accord with albums inner notes,2,0,,,hongkong,en,,12,True,False,common_voice_en_22445724.mp3,writing credits and songs links are in accord with albums in our nukes,0.3333333333333333,9,1,,
Amazon,it is one of seven state roads that travel through the city of chicago,2,0,twenties,male,hongkong,en,,14,True,False,common_voice_en_22257990.mp3,is this one of seven states roles that travel through the city of chicago,0.2857142857142857,6,1,,
Amazon,a conservative,2,1,fourties,male,hongkong,en,,2,True,False,common_voice_en_17799195.mp3,a conservative,0.0,0,0,,
Amazon,the organization was originally known as the commandants warfighting laboratory,2,0,teens,male,hongkong,en,,10,True,False,common_voice_en_22177351.mp3,the organization was originally known as the commandants for fighting laboratory,0.2,3,1,,
Amazon,i havent played around with that yet but id love to hear if you have in the comments,2,1,fourties,male,hongkong,en,,18,True,False,common_voice_en_219302.mp3,i havent played around with that yet but id love to hear if you have in the comments,0.0,0,0,,
