sentence,transcript,wer,levenshtein,ser
at first they were considered stegosaurus exemplars,at first they were considered stegosaurus exemplars,0.0,0,0
the game contains many references to the bible,the game contains many references to the bible,0.0,0,0
dont be a fool,dont be a fool,0.0,0,0
prospect hills science offerings include physics,prospect hills science offerings include physics,0.0,0,0
they have all four properties described above,they have all four properties described it about,0.2857142857142857,5,1
youve got just ten minutes,you have got just 10 minutes,0.6,6,1
it was cancelled early in its second season,it was cancelled early in its second season,0.0,0,0
no you cannot have that lollipop,no you cannot have that lollipop,0.0,0,0
you have plenty of courage i am sure answered oz,you have plenty of courage im sure answer it odds,0.5,8,1
it has been so long since i have seen you,it has been so long since i have seen you,0.0,0,0
the team colours are blue white and black,the team colors are blue white and black,0.125,1,1
he saw the cabs waiting the people passing,he saw the caps written the people passing,0.25,5,1
this could be used as a protection when a tribune needed to arrest someone,this could be used as a protection when attribute needed to arrest someone mhm,0.21428571428571427,6,1
complaints eventually became loud enough that they decided something had to be done,complaints eventually became loud enough that they decided something had to be done,0.0,0,0
at the moment it doesnt provide a weekend news service,at the moment it doesnt provide a weekend new service,0.1,1,1
dont worry about me,dont worry about me,0.0,0,0
they ask for approval without examination of the reason,they asked for approval with the examination of the reason,0.3333333333333333,6,1
goats always have a better view,goat always have a better view,0.16666666666666666,1,1
he left service with the rank of commander,he left service with the rank of commander,0.0,0,0
writing credits and songs lengths are in accord with albums inner notes,writing credits and songs links are in accord with albums in our nukes,0.3333333333333333,9,1
it is one of seven state roads that travel through the city of chicago,is this one of seven states roles that travel through the city of chicago,0.2857142857142857,6,1
a conservative,a conservative,0.0,0,0
the organization was originally known as the commandants warfighting laboratory,the organization was originally known as the commandants for fighting laboratory,0.2,3,1
i havent played around with that yet but id love to hear if you have in the comments,i havent played around with that yet but id love to hear if you have in the comments,0.0,0,0
also when you play it live it just kind of gets boring,oh so when you play it life it just kind of gets boring,0.25,4,1
it is long and graded very difficult,it is long and graded very difficult,0.0,0,0
william was naturally driven by this to oppose king henry,medium was naturally driven by this to oppose king hurry,0.2,7,1
where did you say this man worked,where did you say this man worked,0.0,0,0
his term as premier is regarded by historians as a failure,his term as prime maria is regarded by historians as a failure,0.18181818181818182,7,1
man proposes god disposes,man proposes god disposes,0.0,0,0
how could you even think that,yeah how could you even think that,0.16666666666666666,5,1
they have a black tail with white outer feathers,they have a black tail with white ultra feathers,0.1111111111111111,4,1
what do you think,what do you think,0.0,0,0
harrison has since made periodic appearances on a recurring capacity,harrison has since made periodic appearances on a recurring capacity,0.0,0,0
the hottest month is july and the coldest is february,the hottest month is july and the coldest is february,0.0,0,0
operating an engine in this area is known as redlining,operating engine in this area is known as red lining,0.3,4,1
while the cats away the mice play,while the cats away the mice play,0.0,0,0
the man looked up from his book and noticing nothing newsworthy returned his gaze to the page and continued reading,the man looked up from his book and noticing nothing newsworthy returned his gaze to the page and continue reading,0.05,1,1
lets go to something,lets go to something,0.0,0,0
do as i say not as i do,do as i say not as i do,0.0,0,0
i need ten dollars,i need 10,0.5,11,1
the nearest airfield is bluefields airport,the nearest airfield is boo field airport,0.3333333333333333,4,1
to take a drop too much,take a drop too much,0.16666666666666666,3,1
thats got nothing to do with it,thats got nothing to do with it,0.0,0,0
it can be relieved by moving stock into shade,it can be relieved by moving stock into shade,0.0,0,0
the album was inspired by his divorce from his exwife,the album was inspired by his divorce from his ex wife,0.2,1,1
they are not oppressed to the stem,they are not oppressed to the scene,0.14285714285714285,3,1
the kagawong river consists of two parts,the cargo one with consists of two parts,0.42857142857142855,9,1
the connecticut wits eventually followed their interests in divergent directions,the connecticut beats eventually followed their interest in divergent directions,0.2,4,1
such individuals may be detained indefinitely in ankang centres,such individuals may be detained indefinitely in an can centers,0.3333333333333333,5,1
least heatmoon has osage and europeanamerican ancestry,least heat moon has oxygen european american ancestry,0.7142857142857143,7,1
the industries most commonly affected are banking manufacturing and government,the industrys most commonly affected banking manufacturing and government,0.2,6,1
the pirates seized the crew of the lost ship,the pirates seized the crew of the lost ship,0.0,0,0
my hamster turned my homework into bedding,my hamster turned my homework into bedding,0.0,0,0
he mashed in the controller buttons hoping for some extra speed,he mashed it into controller bottoms hoping for some extra speed,0.2727272727272727,7,1
theyre on their way,they are on their way,0.5,2,1
the lure is used to catch trout and flounder,the lure is used to catch trial and flounder,0.1111111111111111,3,1
rabbit remains unswayed and returns home,rabbit remain unswayed and returns home,0.16666666666666666,1,1
he affiliated himself with the free soil party and was later a republican,he affiliated himself with the free soil party and was later a republican,0.0,0,0
did you know that nikola was going to join us,did you know that like l a was going to join us,0.3,4,1
the swan dive was far short of perfect,this one dive was far short of perfect,0.25,5,1
this however was his only attempt at formula one,this however was his only attempt at formula one,0.0,0,0
lowrate production would lead to typeclassification resulting in removing the x from its designation,low wage production would lead to type classification resulting in removing the x from its destination,0.35714285714285715,6,1
the restoration also addressed decorative and environmental improvements to the building,the restoration also addressed decorative and environmental improvements to the building,0.0,0,0
