,client_id,path,sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu
1259677,8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8,common_voice_en_22281828.mp3,The heat experiment was then aborted.,2,0,twenties,female,australia,en,,6,False,True
1260945,8449194e8b74b81d761d7a3786cdd5d099aff4f33737c7f476edf3435c3eb483ff6d6515d153c7cfb9193821f01a3a0bd6b049740b029acd7b1488df9bd579d8,common_voice_en_22946921.mp3,It was also equipped with a deactivating liquid tank and underbelly spraying apparatus.,2,0,twenties,female,australia,en,,13,False,True
1238020,379dd19cb981e4e0c55e088d74083093ee704d0d2332e65e056b9022bdec56c78d8ad347227fd8b76f9cec853b8fe539142ee5745e0a97c2a4c471187541f91a,common_voice_en_15734560.mp3,The ashtray was empty.,2,0,fourties,male,australia,en,,4,False,True
225201,86c63c99fb69d4bf6f25cf47a1369ae0f9921998854bcb67fa2303b449e071ddd31390acd5fadb57cb81ec1e3f61c05696775e85ff5415365848db35cf7abd45,common_voice_en_168236.mp3,"""Because I've always heard about them,"" the boy answered, saying nothing about his dream.",3,0,twenties,male,australia,en,,14,False,True
811520,6d28bc4d876b12f0a0fdb19e2c3deb4b16298632ff4190ef666da44153b538ad0a447327e26045f0f373bcf4f3adb8b715d360d61a9ea457745f9fde1784ca38,common_voice_en_19871717.mp3,The diploma is awarded upon successful completion of a course which includes four units.,2,1,twenties,male,australia,en,,14,False,True
1355831,7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f,common_voice_en_18974994.mp3,A new limit to the number of pets allowed per owner was also added.,3,0,teens,other,australia,en,,14,False,True
1239669,379dd19cb981e4e0c55e088d74083093ee704d0d2332e65e056b9022bdec56c78d8ad347227fd8b76f9cec853b8fe539142ee5745e0a97c2a4c471187541f91a,common_voice_en_18545816.mp3,We are only servants.,2,0,fourties,male,australia,en,,4,False,True
398816,9db305175f78cb274af0ef15daca8a06b22761b491428b42bd622ab8aee7d08f3a5afa767113b6c1db63ff9ffd6ca0248a08e4b79f89020361bf591611d6c98a,common_voice_en_19943217.mp3,Marin has been slightly more competitive when voting for governor.,2,0,fifties,male,australia,en,,10,False,True
1188001,cbbf0b4896d532ed8bfad4d3a82e356c699d62cc1f88faaaae8cfeca06bb2376e81af1802e342dfedc6673c08b59d030e0892299d0d516938fc4b40c0b9396fe,common_voice_en_21636766.mp3,"Dwayne won the Silver Ermita award, in Colombia, as a vocal soloist.",2,0,twenties,male,australia,en,,12,False,True
458216,273dbc98471a3d12cad2db9bcab5e0f54ab1ca2f9a76d4c9837163357df218fe1e0580c90426eec214790d5e8044267e14f16e822dca46929480453c7b7be5b9,common_voice_en_19455843.mp3,"This has not stopped fans from creating a set of ""Rules For Dragon Poker"".",2,0,teens,male,australia,en,,14,False,True
