,client_id,path,sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu
373382,2ddef28849d05dbd79cc05e5de87b59f5248b3d2b792a3f1489bee6667fae2f7256d4c9315de6b87ed5273fe379e312bb54b5dd92d272f0813bba74179de82a9,common_voice_en_22630065.mp3,"At first they were considered ""Stegosaurus"" exemplars.",2,0,twenties,female,hongkong,en,,7,True,False
62397,afc8f1920e942e73cf984728027744098389c77fb6b8f27f10a061975b868e66ed8236632f6d0b2343608cfc7a8621446485017fd18419542246577bac43fc0e,common_voice_en_20544026.mp3,The game contains many references to the Bible.,2,1,thirties,male,hongkong,en,,8,True,False
1067069,a6b114d6323bc33cd894b8a6e02513295d6158340bd3f3710eb16fa3c684f68d30a2c9811cb6ed925ef115e34b42cef5dd8c3bc3461496143e693fda8da8316f,common_voice_en_17787387.mp3,Don’t be a fool!,2,0,fourties,male,hongkong,en,,4,True,False
69156,ef9b55b9e3cd6537bfde6561eaab6408d454d6158d2bb455d780c240f2af747da27c6fcbe6871a9ed35d3169b1feefdfe1c40bc2865bffdf25bfd65b6df9a9f3,common_voice_en_22969285.mp3,Prospect Hill's science offerings include physics.,2,0,twenties,male,hongkong,en,,6,True,False
531965,8331c9ca14ae4d93783edea8c64b2deb8ea12b4177fb8cc6dd50d2124ea634c839a79aef9df4cbaffe5741b2bdee769f2b8c3164ded2e73e4437b5ad4f04369b,common_voice_en_22423410.mp3,They have all four properties described above.,2,0,twenties,male,hongkong,en,,7,True,False
863109,d651f6b4070286259b1baf8fddf8f464a0b291897eb6a50b4b106fcfa259c9760e10181f8ae1a09edfd78bdda95d7b2adf7ddc4482a118342b6278f2794e9532,common_voice_en_17663.mp3,You've got just ten minutes.,3,0,thirties,male,hongkong,en,,5,True,False
804940,5bfb0afa2b6f9550666006d7566331d24e50ba12b18226b55b88581a6bf59fbbe68d4ab0229c5bf52dcfd388cbc71d1fea258e11d1e593088ec7d659c84bc320,common_voice_en_21786381.mp3,It was cancelled early in its second season.,2,0,twenties,male,hongkong,en,,8,True,False
327501,e2e4c5062400ef0c17e4cb8866bec60c7c8dbdef1a07553406322afb8b223789b7bc2f610d8d9ad51cf3e322e699427160abbb0eec4981ad07a82b35bec61f61,common_voice_en_17264229.mp3,"No, you cannot have that lollipop.",2,0,twenties,male,hongkong,en,,6,True,False
238599,b914470439d3f7156a500e2b9bd8133dd73a03b874bb2acb1da8afa6115faf36c687ba98c40d3c6d95c10e263d8630030dc476622eadef944120689adbf47f4e,common_voice_en_18441981.mp3,"""You have plenty of courage, I am sure,"" answered Oz.",2,1,twenties,male,hongkong,en,,10,True,False
1067251,a6b114d6323bc33cd894b8a6e02513295d6158340bd3f3710eb16fa3c684f68d30a2c9811cb6ed925ef115e34b42cef5dd8c3bc3461496143e693fda8da8316f,common_voice_en_17816517.mp3,It has been so long since I have seen you!,2,0,fourties,male,hongkong,en,,10,True,False
792123,4ad9eea58f6dba2b894bdc7ef6b5794133885508a8c18b05bc42e9c6776404434af7e7ee9e735553c788fe1f33def94b3a30ba6158992a02dc47ad75b9e9e934,common_voice_en_22257412.mp3,"The team colours are blue, white and black.",2,0,twenties,male,hongkong,en,,8,True,False
179249,b3f8988ba013613140b20fdbc5a754aa7310001cfad037c50cc3ddfe8ef7facfe2a430f44f7572c2ce45b7835c371c7344bbb912e073e88ab38da591d24ea206,common_voice_en_20867349.mp3,"He saw the cabs waiting, the people passing.",2,0,twenties,male,hongkong,en,,8,True,False
72066,05a25084a5dee93a9075e63a3a3230d719dc8cd344e6fcd2c71201fef12f830e98bdaaecfd28876e0f9eebc7a27e834f680205ceaefd9a8441625843bb9499eb,common_voice_en_20912992.mp3,This could be used as a protection when a tribune needed to arrest someone.,2,0,twenties,male,hongkong,en,,14,True,False
768002,dc83d61cebf288260073ed87d73e6e998e94524f18a705821702ea7f25f5c647e9f046079a1acb1d1bdff02c6ddb1931b90241d80bf06277c59d71e9caec1ce1,common_voice_en_22355867.mp3,"Complaints eventually became loud enough that they decided ""something"" had to be done.",2,0,twenties,male,hongkong,en,,13,True,False
804891,5bfb0afa2b6f9550666006d7566331d24e50ba12b18226b55b88581a6bf59fbbe68d4ab0229c5bf52dcfd388cbc71d1fea258e11d1e593088ec7d659c84bc320,common_voice_en_21786191.mp3,At the moment it doesn't provide a weekend news service.,2,0,twenties,male,hongkong,en,,10,True,False
1066861,a6b114d6323bc33cd894b8a6e02513295d6158340bd3f3710eb16fa3c684f68d30a2c9811cb6ed925ef115e34b42cef5dd8c3bc3461496143e693fda8da8316f,common_voice_en_17776615.mp3,Don’t worry about me.,2,0,fourties,male,hongkong,en,,4,True,False
792124,4ad9eea58f6dba2b894bdc7ef6b5794133885508a8c18b05bc42e9c6776404434af7e7ee9e735553c788fe1f33def94b3a30ba6158992a02dc47ad75b9e9e934,common_voice_en_22257423.mp3,They ask for approval without examination of the reason.,2,1,twenties,male,hongkong,en,,9,True,False
