provider,sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,filename,transcript,confidence
Google,"At first they were considered ""Stegosaurus"" exemplars.",2,0,twenties,female,hongkong,en,,7,TRUE,FALSE,common_voice_en_22630065.mp3,at first they were considered stegosaurus exemplars,0.979757369
Google,The game contains many references to the Bible.,2,1,thirties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_20544026.mp3,the game contains many reference to the Bible,0.896109521
Google,Don’t be a fool!,2,0,fourties,male,hongkong,en,,4,TRUE,FALSE,common_voice_en_17787387.mp3,don't be a fool,0.983602643
Google,Prospect Hill's science offerings include physics.,2,0,twenties,male,hongkong,en,,6,TRUE,FALSE,common_voice_en_22969285.mp3,Prospect shoes signs offerings include music,0.796480894
Google,They have all four properties described above.,2,0,twenties,male,hongkong,en,,7,TRUE,FALSE,common_voice_en_22423410.mp3,they have all fall properties described as a boss,0.689021349
Google,You've got just ten minutes.,3,0,thirties,male,hongkong,en,,5,TRUE,FALSE,common_voice_en_17663.mp3,Jill Scott just 10 minutes,0.731345892
Google,It was cancelled early in its second season.,2,0,twenties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_21786381.mp3,it was canceled early in the second season,0.922614753
Google,"No, you cannot have that lollipop.",2,0,twenties,male,hongkong,en,,6,TRUE,FALSE,common_voice_en_17264229.mp3,no you cannot to have that lollipop,0.849383652
Google,"""You have plenty of courage, I am sure,"" answered Oz.",2,1,twenties,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_18441981.mp3,you have plenty of Courage I'm sure I'm through results,0.727686763
Google,It has been so long since I have seen you!,2,0,fourties,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_17816517.mp3,it has been so long since I have seen you,0.947401404
Google,"The team colours are blue, white and black.",2,0,twenties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_22257412.mp3,the team colors of blue white and black,0.912295818
Google,"He saw the cabs waiting, the people passing.",2,0,twenties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_20867349.mp3,you saw the cats mating the people passing,0.813994408
Google,This could be used as a protection when a tribune needed to arrest someone.,2,0,twenties,male,hongkong,en,,14,TRUE,FALSE,common_voice_en_20912992.mp3,this could be used as a protection when a Tribune needed to arrest someone,0.896421552
Google,"Complaints eventually became loud enough that they decided ""something"" had to be done.",2,0,twenties,male,hongkong,en,,13,TRUE,FALSE,common_voice_en_22355867.mp3,I'm glad you went 48 between law that something had to be done,0.723375082
Google,At the moment it doesn't provide a weekend news service.,2,0,twenties,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_21786191.mp3,at the moment it doesn't provide a week and new service,0.824619889
Google,Don’t worry about me.,2,0,fourties,male,hongkong,en,,4,TRUE,FALSE,common_voice_en_17776615.mp3,don't worry about me,0.983161569
Google,They ask for approval without examination of the reason.,2,1,twenties,male,hongkong,en,,9,TRUE,FALSE,common_voice_en_22257423.mp3,they ask for approval without examination of the reason,0.847625911
Google,Goats always have a better view.,2,0,thirties,male,hongkong,en,,6,TRUE,FALSE,common_voice_en_17613.mp3,goats always have a bath of,0.714417219
Google,He left service with the rank of commander.,2,0,twenties,male,hongkong,en,,8,TRUE,FALSE,common_voice_en_22248437.mp3,aleph service with the rank of Commander,0.897692084
Google,Writing credits and songs' lengths are in accord with album's inner notes.,2,0,,,hongkong,en,,12,TRUE,FALSE,common_voice_en_22445724.mp3,writing credits and songs length in a code with album.,0.876377761
Google,It is one of seven state roads that travel through the city of Chicago.,2,0,twenties,male,hongkong,en,,14,TRUE,FALSE,common_voice_en_22257990.mp3,and this is one of seven State rose that travel through the city of Chicago,0.852541387
Google,A conservative.,2,1,fourties,male,hongkong,en,,2,TRUE,FALSE,common_voice_en_17799195.mp3,a conservative,0.897458196
Google,The organization was originally known as the Commandant's Warfighting Laboratory.,2,0,teens,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_22177351.mp3,"the organization is orange Ali known as stew, Don's for fighting Laboratory",0.83384794
Google,"I haven't played around with that yet, but I'd love to hear if you have in the comments.",2,1,fourties,male,hongkong,en,,18,TRUE,FALSE,common_voice_en_219302.mp3,I haven't played around with that yet but I'd love to hear if you have in the comments,0.98096776
Google,"Also, when you play it live, it just kind of gets boring.",2,0,thirties,male,hongkong,en,,12,TRUE,FALSE,common_voice_en_22606561.mp3,oh so when you play your life it just kind of gets boring,0.819437385
Google,"It is long, and graded ""Very Difficult"".",2,0,teens,male,hongkong,en,,7,TRUE,FALSE,common_voice_en_18987958.mp3,it is long on the credit wire difficult,0.656272352
Google,William was naturally driven by this to oppose King Henry.,2,0,twenties,male,hongkong,en,,10,TRUE,FALSE,common_voice_en_22355775.mp3,medium what network do you mean by a Holstein hurry,0.641791284
Google,Where did you say this man worked?,2,0,fourties,male,hongkong,en,,7,TRUE,FALSE,common_voice_en_17808853.mp3,where did you say this man work,0.863206029
Google,His term as premier is regarded by historians as a failure.,2,0,twenties,male,hongkong,en,,11,TRUE,FALSE,common_voice_en_23377193.mp3,is time as camera is recorded by historian as a failure,0.843568265
Google,"Man proposes, God disposes.",2,1,twenties,male,hongkong,en,,4,TRUE,FALSE,common_voice_en_17247255.mp3,man proposes God disposes,0.984022379
Google,How could you even think that?,2,0,thirties,male,hongkong,en,,6,TRUE,FALSE,common_voice_en_214017.mp3,how could you even think that,0.98376745
Google,They have a black tail with white outer feathers.,2,1,twenties,male,hongkong,en,,9,TRUE,FALSE,common_voice_en_22257650.mp3,I have a black tail with white salt or feathers,0.840942204
