provider,sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,filename,transcript,confidence
Google,The heat experiment was then aborted.,2,0,twenties,female,australia,en,,6,FALSE,TRUE,common_voice_en_22281828.mp3,heat experiments,0.80527997
Google,It was also equipped with a deactivating liquid tank and underbelly spraying apparatus.,2,0,twenties,female,australia,en,,13,FALSE,TRUE,common_voice_en_22946921.mp3,it's supposed to say we quipped with a deactivating liquid tank and underbelly spring apparatus,0.795585454
Google,The ashtray was empty.,2,0,fourties,male,australia,en,,4,FALSE,TRUE,common_voice_en_15734560.mp3,the ashtray was empty,0.902162373
Google,"""Because I've always heard about them,"" the boy answered, saying nothing about his dream.",3,0,twenties,male,australia,en,,14,FALSE,TRUE,common_voice_en_168236.mp3,because I've always felt about the boy on since I know nothing about his dream,0.817759335
Google,The diploma is awarded upon successful completion of a course which includes four units.,2,1,twenties,male,australia,en,,14,FALSE,TRUE,common_voice_en_19871717.mp3,the deployment is awarded upon successful completion of a course which includes four units,0.948883832
Google,A new limit to the number of pets allowed per owner was also added.,3,0,teens,other,australia,en,,14,FALSE,TRUE,common_voice_en_18974994.mp3,a new limits the number of pets allowed and I was also added,0.878811181
Google,We are only servants.,2,0,fourties,male,australia,en,,4,FALSE,TRUE,common_voice_en_18545816.mp3,we are only servants,0.98802948
Google,Marin has been slightly more competitive when voting for governor.,2,0,fifties,male,australia,en,,10,FALSE,TRUE,common_voice_en_19943217.mp3,Marin has been Slaton,0.754120708
Google,"Dwayne won the Silver Ermita award, in Colombia, as a vocal soloist.",2,0,twenties,male,australia,en,,12,FALSE,TRUE,common_voice_en_21636766.mp3,Dwayne won the silver Emmys award in Columbia as a vocal soloist,0.889151156
Google,"This has not stopped fans from creating a set of ""Rules For Dragon Poker"".",2,0,teens,male,australia,en,,14,FALSE,TRUE,common_voice_en_19455843.mp3,this is not stopped fans from creating a set of rules to Dragon Park Co,0.892105043
Google,The episodes are viewed in the same way as the comics are released.,2,0,twenties,female,australia,en,,13,FALSE,TRUE,common_voice_en_22298703.mp3,the episode of these in the same way as a comic so relieved,0.870863616
Google,Mountain Pointe is a part of the Tempe Union High School District.,2,0,twenties,male,australia,en,,12,FALSE,TRUE,common_voice_en_19676189.mp3,Mountain Pointe is a pot of the temp Union High School District,0.822279632
Google,This term applies to opposite points on a circle or any n-sphere.,2,0,teens,other,australia,en,,12,FALSE,TRUE,common_voice_en_20768932.mp3,the song of Life of six points on a circle or any MC,0.904649019
Google,"Today there are attempts to develop the work of local artisans, especially in ceramics.",2,0,teens,other,australia,en,,14,FALSE,TRUE,common_voice_en_20934336.mp3,today there was attempts to develop the work of local Artisans especially in ceramics,0.839377582
Google,The Mayor is elected for four-year terms.,2,0,fourties,male,australia,en,,7,FALSE,TRUE,common_voice_en_22236698.mp3,the mayor is elected for a four-year terms,0.9398489
